TITLE     = "Particles in 3D"
VARIABLES = "X" "Y" "Z" "UP" "VP" "WP" "MASS" "WT" "WTD" "DPM" "XN" "YN" "ZN" "SRCNUM
ZONE T="     0.0 seconds"
I=         4, J=1, K=1,F=POINT
DT=(SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE)
    69.833    53.540     0.602    -0.649    -0.212    -0.332  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    52.536    51.219     1.448     0.363     0.351     0.002  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   118.188    50.078     0.965     0.524     0.151    -0.108  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    38.185    56.187     0.489     0.045    -0.499    -0.452  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   126.042    57.043     0.180     1.070    -0.994     0.448  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    57.543    53.055     1.148     0.483     0.066     0.566  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    84.388    59.121     1.478    -0.173    -0.172     0.210  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    40.060    55.543     2.572     0.626    -0.470     0.228  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   115.949    51.218     2.504     0.529     0.089     0.387  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    37.127    59.289     0.550     0.045     0.489    -0.253  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    42.074    58.556     2.620     0.208     0.024     0.292  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   123.443    53.434     1.416    -0.265     0.097    -0.031  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    74.822    50.847     1.215     0.288     0.351     0.358  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   100.104    56.867     0.301     0.171    -0.383     0.380  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    92.391    51.609     0.232    -0.640     0.206    -0.255  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    83.489    57.110     1.411     0.411    -0.167    -0.253  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   117.112    49.328     2.119     0.704     0.208    -0.185  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    40.702    52.981     3.564    -0.329    -0.485     0.374  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   133.484    57.078     0.511    -0.615     0.296     0.113  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   116.092    50.854     3.457     0.092    -0.418     0.535  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    40.483    56.173     1.839    -0.282     0.126    -0.177  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    58.508    54.632     1.539     0.641    -0.814     0.583  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    66.941    52.008     1.712     0.435     0.277    -0.485  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   119.083    56.170     2.983     0.861     0.820     0.220  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    79.079    52.801     0.969     0.112     0.239     0.197  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    57.966    48.294     2.352    -0.309    -0.557     0.714  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    38.175    54.963     0.374     0.115    -0.297    -0.010  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    47.268    51.422     0.660     0.598     0.682    -0.107  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    95.041    52.051     0.974    -0.034    -0.501    -0.210  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   100.013    52.826     1.312     0.254     0.040    -0.060  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    69.598    52.664     0.800     0.676     0.591    -0.204  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    99.003    54.607     0.957     0.165     0.759     0.013  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    71.575    50.960     1.246    -0.331     0.508     0.101  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    41.033    60.413     2.030     0.394     0.334    -0.082  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    91.550    52.973     1.469    -0.021    -0.062     0.341  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    82.531    50.197     2.264     0.071    -0.775     0.112  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    92.361    55.444     2.021    -0.623     0.750    -0.093  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   132.072    57.243     0.521     0.211    -0.356     0.505  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    40.630    58.754     2.962    -0.059    -0.009     0.177  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    38.599    58.562     0.243     0.047    -0.364     0.479  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   122.928    51.285     1.839     0.511    -0.025     0.239  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    36.372    57.161     0.131    -0.323     0.202     0.700  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    90.277    55.038     0.642     0.383    -0.518     0.632  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   127.582    56.365     0.467     0.009    -0.014     0.166  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   112.320    55.076     1.620     0.079     0.137    -0.073  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    84.243    60.524     2.522    -0.412     0.229     0.094  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    47.628    49.137     1.610     0.493    -0.397     0.286  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   100.149    52.442     0.261     0.090     1.055    -0.534  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   108.179    52.327     1.786     0.400     0.296    -0.046  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   126.800    56.974     1.539    -0.153    -0.968    -0.535  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    72.652    54.861     1.871    -0.212     0.748     0.370  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    69.520    52.618     1.785     0.283    -0.478     0.082  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    83.757    56.862     2.906    -0.649    -0.099     0.320  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    51.577    52.633     1.301    -0.464    -0.628     0.730  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    67.549    53.213     1.426     0.327    -0.448     0.352  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    85.028    54.893     1.435     0.300    -0.482     0.041  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   107.177    52.720     1.102     0.779     0.397    -0.017  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    40.922    61.016     3.780    -0.145     1.038     0.626  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   122.301    54.666     0.973    -0.393     0.485    -0.195  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   100.768    49.665     1.741     0.045     0.231     0.089  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   108.641    50.597     1.858     0.804     0.608     0.141  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   105.349    52.466     1.319     0.332    -0.195     0.173  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    44.790    57.092     0.320     0.269     0.705     0.754  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    44.882    50.864     2.463     0.714    -1.954     0.209  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
